Date,Open,High,Low,Close,Adj Close,Volume
2019-12-04,19.270000,19.270000,18.350000,18.379999,18.379999,5885500
2019-12-05,18.620001,18.889999,18.209999,18.600000,18.600000,4871500
2019-12-06,18.690001,18.799999,18.430000,18.650000,18.650000,2980600
2019-12-09,19.299999,21.490000,19.209999,21.290001,21.290001,19168400
2019-12-10,21.510000,21.680000,19.820000,20.090000,20.090000,12447600
2019-12-11,20.219999,20.760000,20.080000,20.250000,20.250000,6488300
2019-12-12,20.650000,21.200001,20.260000,21.129999,21.129999,6710200
2019-12-13,21.459999,22.250000,20.645000,20.680000,20.680000,11864300
2019-12-16,20.670000,21.138000,20.299999,20.360001,20.360001,5866500
2019-12-17,20.299999,20.791000,20.120001,20.650000,20.650000,4729300
2019-12-18,20.650000,20.775999,19.530001,19.730000,19.730000,7484200
2019-12-19,19.690001,20.350000,19.450001,20.070000,20.070000,5499200
2019-12-20,20.000000,20.280001,19.650000,20.040001,20.040001,4936900
2019-12-23,19.860001,20.215000,19.469999,19.740000,19.740000,4838600
2019-12-24,19.600000,19.990000,19.219999,19.959999,19.959999,3255900
2019-12-26,19.750000,19.827999,19.090000,19.219999,19.219999,4794900
2019-12-27,19.430000,19.629999,19.010000,19.209999,19.209999,5398000
2019-12-30,19.049999,19.308001,18.480000,18.790001,18.790001,6306300
2019-12-31,18.600000,21.410000,18.500000,21.090000,21.090000,16355500
2020-01-02,21.559999,21.650000,19.879999,20.129999,20.129999,10751900
2020-01-03,19.750000,20.600000,19.620001,19.900000,19.900000,6327400
2020-01-06,19.940001,20.260000,19.480000,20.080000,20.080000,5798900
2020-01-07,20.219999,20.440001,19.639999,19.799999,19.799999,4858400
2020-01-08,19.700001,20.620001,19.020000,20.129999,20.129999,8249300
2020-01-09,20.200001,21.045000,19.760000,20.799999,20.799999,7915100
2020-01-10,20.700001,21.250000,20.350000,20.540001,20.540001,6207300
2020-01-13,20.540001,23.200001,20.139999,23.110001,23.110001,18344300
2020-01-14,22.740000,24.440001,21.830000,23.850000,23.850000,24121300
2020-01-15,24.139999,25.969999,23.580000,24.900000,24.900000,20994000
2020-01-16,25.450001,25.889999,24.040001,24.299999,24.299999,13226600
2020-01-17,24.100000,25.260000,23.650000,24.889999,24.889999,12460100
2020-01-21,25.190001,25.639999,23.870001,24.150000,24.150000,9687400
2020-01-22,24.400000,24.658001,23.570000,24.120001,24.120001,7123800
2020-01-23,24.059999,25.000000,23.740000,24.559999,24.559999,6192600
2020-01-24,24.760000,24.959999,22.549999,22.650000,22.650000,9379900
2020-01-27,21.500000,22.305000,21.340000,21.559999,21.559999,6331000
2020-01-28,22.639999,23.950001,22.290001,23.920000,23.920000,10621200
2020-01-29,24.170000,24.400000,23.209999,23.520000,23.520000,7238600
2020-01-30,23.180000,23.959999,23.059999,23.350000,23.350000,4484900
2020-01-31,23.350000,23.458000,22.049999,22.549999,22.549999,6428000
2020-02-03,22.600000,22.940001,21.760000,22.110001,22.110001,5260900
2020-02-04,22.320000,22.940001,22.121000,22.340000,22.340000,5076600
2020-02-05,22.500000,22.680000,21.480000,21.670000,21.670000,6582600
